BEGIN_DATE,END_DATE,NUM_NODES,ATTACK_RATIO,ATTACK_START_TIME,ATTACK_DURATION,ATTACK_PARAMETER,NODE,LAT,LNG,TIME,TIME_FEATURE,ACTIVE,PACKET,ATTACKED,PACKET_109,NODE_109,PACKET_110,NODE_110,PACKET_114,NODE_114,PACKET_131,NODE_131,PACKET_133,NODE_133,PACKET_176,NODE_176,PACKET_209,NODE_209,PACKET_248,NODE_248,PACKET_233,NODE_233,PACKET_170,NODE_170
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:09.462430,0,0,2,0,2,1,2,0,5,0,2,0,0,0,2,0,2,0,2,0,76,0,78,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:14.462430,0,0,19,0,19,1,19,0,21,0,19,0,11,0,19,0,19,0,19,0,100,0,101,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:19.462430,0,0,53,0,53,1,54,0,56,0,67,0,101,0,55,0,53,0,54,0,129,0,133,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:24.462430,0,0,19,0,19,1,19,0,21,0,35,0,121,0,20,0,21,0,21,0,95,0,97,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:29.462430,0,0,0,0,0,1,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:34.462430,0,0,20,0,20,1,20,0,23,0,20,0,102,0,20,0,20,0,20,0,97,0,98,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:39.462430,1,0,32,0,32,1,19,0,22,0,21,0,100,0,19,0,19,0,19,0,96,0,97,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:44.462430,1,0,29,0,29,1,21,0,21,0,19,0,99,0,21,0,19,0,21,0,95,0,99,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:49.462430,1,0,33,0,33,1,24,0,29,0,44,0,107,0,24,0,38,0,24,0,103,0,101,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:54.462430,1,0,25,0,25,1,24,0,27,0,44,0,96,0,23,0,25,0,23,0,103,0,117,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:17:59.462430,1,0,26,0,26,1,39,0,28,0,25,0,97,0,40,0,27,0,40,0,105,0,105,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:04.462430,1,1,23,1,23,1,23,0,39,0,23,0,102,0,23,0,23,0,23,0,114,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:09.462430,2,1,97,1,97,1,97,0,100,0,99,0,114,0,97,0,97,0,97,0,98,0,98,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:14.462430,2,1,120,1,120,1,106,0,107,0,106,0,104,0,109,0,120,0,106,0,99,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:19.462430,2,1,96,1,96,1,97,0,99,0,95,0,96,0,98,0,97,0,97,0,96,0,97,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:24.462430,2,1,99,1,99,1,100,0,101,0,115,0,106,0,100,0,100,0,100,0,99,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:29.462430,2,1,95,1,95,1,95,0,101,0,95,0,97,0,95,0,95,0,95,0,97,0,99,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:34.462430,2,1,103,1,103,1,116,0,104,0,103,0,96,0,117,0,104,0,117,0,107,0,104,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:39.462430,3,1,97,1,97,1,98,0,101,0,97,0,98,0,97,0,112,0,99,0,99,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:44.462430,3,1,104,1,104,1,103,0,117,0,101,0,100,0,104,0,101,0,108,0,115,0,115,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:49.462430,3,1,95,1,95,1,96,0,100,0,96,0,106,0,98,0,97,0,91,0,96,0,96,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:54.462430,3,1,101,1,101,1,103,0,104,0,101,0,119,0,104,0,102,0,101,0,98,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:18:59.462430,3,1,98,1,98,1,96,0,98,0,100,0,96,0,95,0,98,0,96,0,95,0,95,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:04.462430,3,1,111,1,111,1,97,0,100,0,117,0,100,0,97,0,97,0,98,0,99,0,99,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:09.462430,4,1,104,1,104,1,119,0,109,0,112,0,98,0,118,0,117,0,116,0,104,0,102,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:14.462430,4,1,97,1,97,1,96,0,99,0,111,0,100,0,97,0,98,0,98,0,102,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:19.462430,4,1,96,1,96,1,98,0,98,0,96,0,99,0,98,0,97,0,98,0,97,0,101,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:24.462430,4,1,99,1,99,1,99,0,116,0,99,0,100,0,99,0,102,0,99,0,114,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:29.462430,4,1,98,1,98,1,99,0,102,0,97,0,103,0,100,0,97,0,98,0,95,0,97,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:34.462430,4,1,101,1,101,1,102,0,102,0,100,0,100,0,99,0,99,0,101,0,101,0,115,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:39.462430,5,1,101,1,101,1,101,0,103,0,100,0,96,0,100,0,115,0,100,0,102,0,99,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:44.462430,5,1,103,1,103,1,117,0,105,0,106,0,120,0,118,0,103,0,117,0,103,0,106,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:49.462430,5,1,99,1,99,1,98,0,103,0,100,0,96,0,99,0,99,0,98,0,110,0,98,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:54.462430,5,1,113,1,113,1,100,0,100,0,98,0,101,0,98,0,101,0,100,0,100,0,98,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:19:59.462430,5,1,98,1,98,1,98,0,101,0,98,0,104,0,98,0,98,0,98,0,103,0,102,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:04.462430,5,1,99,1,99,1,101,0,115,0,113,0,100,0,101,0,99,0,99,0,102,0,101,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:09.462430,6,1,99,1,99,1,100,0,104,0,99,0,98,0,99,0,115,0,102,0,97,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:14.462430,6,1,102,1,102,1,101,0,106,0,103,0,100,0,102,0,100,0,101,0,116,0,103,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:19.462430,6,1,102,1,102,1,117,0,105,0,118,0,103,0,115,0,105,0,117,0,101,0,101,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:24.462430,6,1,102,1,102,1,100,0,104,0,112,0,98,0,104,0,102,0,100,0,100,0,113,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:29.462430,6,1,100,1,100,1,99,0,104,0,97,0,116,0,99,0,98,0,99,0,101,0,100,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:34.462430,6,1,98,1,98,1,98,0,98,0,100,0,102,0,95,0,96,0,98,0,96,0,96,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:39.462430,7,1,100,1,100,1,101,0,102,0,102,0,102,0,102,0,114,0,99,0,116,0,101,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:44.462430,7,1,115,1,115,1,99,0,117,0,99,0,101,0,102,0,103,0,102,0,101,0,102,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:49.462430,7,1,98,1,98,1,100,0,103,0,100,0,98,0,97,0,100,0,99,0,101,0,98,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:54.462430,7,1,103,1,103,1,117,0,105,0,117,0,98,0,119,0,103,0,117,0,104,0,106,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:20:59.462430,7,1,95,1,95,1,96,0,99,0,95,0,96,0,96,0,96,0,96,0,96,0,97,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:21:04.462430,7,1,98,1,98,1,100,0,100,0,98,0,100,0,97,0,97,0,99,0,111,0,97,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:21:09.462430,8,1,99,1,99,1,99,0,104,0,99,0,102,0,100,0,116,0,100,0,97,0,99,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:21:14.462430,8,1,99,1,99,1,99,0,99,0,97,0,102,0,97,0,97,0,97,0,104,0,113,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:21:19.462430,8,1,100,1,100,1,97,0,100,0,100,0,116,0,97,0,99,0,100,0,97,0,98,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:21:24.462430,8,1,101,1,101,1,114,0,121,0,99,0,100,0,104,0,102,0,99,0,99,0,101,0
2023-12-04,2023-12-04,10,1,2023-12-04 12:18:05.037328,0:20:00,0,109,50.46388319,35.37576942,2023-12-04 12:21:29.462430,8,1,100,1,100,1,103,0,101,0,103,0,97,0,99,0,99,0,115,0,116,0,102,0
