BEGIN_DATE,END_DATE,NUM_NODES,ATTACK_RATIO,ATTACK_START_TIME,ATTACK_DURATION,ATTACK_PARAMETER,NODE,LAT,LNG,TIME,TIME_FEATURE,ACTIVE,PACKET,ATTACKED,PACKET_109,NODE_109,PACKET_110,NODE_110,PACKET_114,NODE_114,PACKET_131,NODE_131,PACKET_133,NODE_133,PACKET_176,NODE_176,PACKET_209,NODE_209,PACKET_248,NODE_248,PACKET_233,NODE_233,PACKET_170,NODE_170
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:11.490871,0,0,2,0,2,1,2,0,5,0,2,0,0,0,2,0,2,0,2,0,74,0,74,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:16.490871,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:21.490871,0,0,19,0,19,1,19,0,21,0,19,0,106,0,19,0,19,0,19,0,100,0,100,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:26.490871,0,0,51,0,51,1,51,0,54,0,53,0,105,0,51,0,51,0,51,0,129,0,130,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:31.490871,0,0,19,0,19,1,21,0,21,0,19,0,98,0,19,0,19,0,21,0,96,0,96,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:36.490871,0,0,45,0,45,1,21,0,24,0,21,0,115,0,21,0,21,0,21,0,98,0,98,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:41.490871,1,0,27,0,27,1,19,0,21,0,19,0,100,0,19,0,19,0,19,0,97,0,99,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:46.490871,1,0,19,0,19,1,19,0,24,0,19,0,98,0,19,0,22,0,19,0,102,0,97,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:51.490871,1,0,35,0,35,1,21,0,23,0,21,0,98,0,21,0,20,0,21,0,97,0,98,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:38:56.490871,1,0,23,0,23,1,37,0,26,0,23,0,105,0,25,0,23,0,37,0,100,0,101,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:01.490871,1,0,26,0,26,1,26,0,40,0,50,0,102,0,24,0,24,0,26,0,105,0,101,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:06.490871,1,1,23,1,23,1,23,0,29,0,41,0,98,0,23,0,23,0,23,0,100,0,117,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:11.490871,2,1,240,1,240,1,23,0,25,0,239,0,250,0,239,0,23,0,238,0,118,0,101,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:16.490871,2,1,306,1,306,1,28,0,30,0,265,0,277,0,281,0,41,0,266,0,103,0,105,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:21.490871,2,1,253,1,253,1,20,0,24,0,253,0,256,0,253,0,20,0,252,0,101,0,100,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:26.490871,2,1,280,1,280,1,112,0,26,0,255,0,253,0,255,0,24,0,271,0,95,0,100,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:31.490871,2,1,260,1,260,1,103,0,21,0,251,0,254,0,251,0,19,0,251,0,95,0,97,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:36.490871,2,1,255,1,255,1,97,0,38,0,253,0,253,0,253,0,23,0,253,0,99,0,100,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:41.490871,3,1,269,1,269,1,100,0,23,0,255,0,255,0,255,0,21,0,257,0,98,0,99,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:46.490871,3,1,255,1,255,1,98,0,26,0,272,0,257,0,255,0,23,0,254,0,101,0,113,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:51.490871,3,1,255,1,255,1,97,0,23,0,257,0,276,0,255,0,21,0,254,0,100,0,98,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:39:56.490871,3,1,266,1,266,1,126,0,36,0,262,0,261,0,263,0,32,0,284,0,124,0,110,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:01.490871,3,1,251,1,251,1,98,0,22,0,252,0,251,0,252,0,19,0,253,0,98,0,100,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:06.490871,3,1,273,1,273,1,100,0,26,0,285,0,254,0,261,0,37,0,261,0,99,0,99,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:11.490871,4,1,277,1,277,1,101,0,39,0,263,0,255,0,269,0,23,0,259,0,101,0,100,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:16.490871,4,1,264,1,264,1,97,0,23,0,250,0,252,0,252,0,20,0,250,0,97,0,96,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:21.490871,4,1,256,1,256,1,98,0,21,0,251,0,258,0,253,0,19,0,248,0,94,0,98,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:26.490871,4,1,257,1,257,1,118,0,28,0,273,0,256,0,258,0,27,0,272,0,104,0,102,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:31.490871,4,1,273,1,273,1,103,0,29,0,262,0,273,0,259,0,25,0,258,0,102,0,104,0
2023-12-05,2023-12-05,10,0.5,2023-12-05 06:39:07.226481,0:10:00,6,109,50.46388319,35.37576942,2023-12-05 06:40:36.490871,4,1,258,1,258,1,104,0,29,0,260,0,263,0,258,0,26,0,257,0,102,0,116,0
